TF,n_vars,n_on,n_off,n_dc,coverage
HMGA1,2,1,2,1,0.75
MAFK,7,12,11,105,0.18
JUND,7,12,4,112,0.125
ATF4,5,9,2,21,0.344
KLF4,7,11,14,103,0.195
NEUROD1,1,0,2,0,1.0
E2F8,2,2,1,1,0.75
GATA6,4,0,8,8,0.5
FOSB,7,12,3,113,0.117
BHLHE40,7,9,10,109,0.148
JUNB,7,18,6,104,0.188
GATA5,3,4,2,2,0.75
DDIT3,7,9,14,105,0.18
RBPJL,3,1,1,6,0.25
E2F1,2,2,2,0,1.0
HMGA2,3,2,2,4,0.5
FOSL2,7,10,7,111,0.133
KLF5,7,10,7,111,0.133
LTF,1,0,2,0,1.0
SOX17,2,0,4,0,1.0
HES1,7,2,15,111,0.133
CEBPD,2,2,2,0,1.0
ELF3,4,4,7,5,0.688
MAFF,7,14,7,107,0.164
FOS,5,9,5,18,0.438
KLF10,7,2,11,115,0.102
CEBPB,7,10,11,107,0.164
MAFG,6,4,13,47,0.266
FOSL1,1,0,2,0,1.0
SOX11,3,1,6,1,0.875
ATF3,7,9,7,112,0.125
SOX9,6,3,12,49,0.234
KLF6,7,10,6,112,0.125
SPIB,3,0,5,3,0.625
JUN,7,10,6,112,0.125
MYBL2,3,3,3,2,0.75
SOX4,4,1,7,8,0.5
